team,mlbam_id,player_name,player_type,mlb_team,weeks_active,runs,home_runs,rbi,stolen_bases,at_bats,hits,walks,hit_by_pitch,sac_flies,obp,wins,strikeouts,saves,innings_pitched,outs_pitched,earned_runs,hits_allowed,walks_allowed,era,whip
Shane,664040,Brandon Lowe,hitter,PIT,8,26,12,31,0,158,40,23,1,1,0.35,0,0,0,0.0,0,0,0,0,0.0,0.0
Shane,686668,Brenton Doyle,hitter,COL,8,20,1,3,8,112,22,10,0,0,0.262,0,0,0,0.0,0,0,0,0,0.0,0.0
Shane,682928,CJ Abrams,hitter,WSH,8,28,9,38,7,168,50,20,6,2,0.388,0,0,0,0.0,0,0,0,0,0.0,0.0
Shane,678882,Ceddanne Rafaela,hitter,BOS,8,18,4,19,3,148,42,10,6,0,0.354,0,0,0,0.0,0,0,0,0,0.0,0.0
Shane,802415,Chandler Simpson,hitter,TB,8,24,0,12,14,172,52,9,0,2,0.333,0,0,0,0.0,0,0,0,0,0.0,0.0
Shane,694037,Daniel Palencia,pitcher,CHC,8,0,0,0,0,0,0,0,0,0,0.0,1,9,3,9.0,27,2,8,3,2.0,1.22
Shane,691587,Eury Perez,pitcher,MIA,8,0,0,0,0,0,0,0,0,0,0.0,2,58,0,52.1,157,31,46,28,5.33,1.41
Shane,680776,Jarren Duran,hitter,BOS,8,19,4,18,9,164,30,11,2,0,0.243,0,0,0,0.0,0,0,0,0,0.0,0.0
Shane,608070,Jose Ramirez,hitter,CLE,8,29,7,19,20,179,40,35,1,1,0.352,0,0,0,0.0,0,0,0,0,0.0,0.0
Shane,680574,Matt McLain,hitter,CIN,8,19,5,19,6,164,35,24,2,0,0.321,0,0,0,0.0,0,0,0,0,0.0,0.0
Shane,671739,Michael Harris II,hitter,ATL,8,18,8,24,2,150,44,7,0,1,0.323,0,0,0,0.0,0,0,0,0,0.0,0.0
Shane,650633,Michael King,pitcher,SD,8,0,0,0,0,0,0,0,0,0,0.0,3,50,0,51.1,154,15,34,22,2.63,1.09
Shane,663556,Shane McClanahan,pitcher,TB,8,0,0,0,0,0,0,0,0,0,0.0,4,41,0,39.2,119,10,24,15,2.27,0.98
Shane,686469,Vinnie Pasquantino,hitter,KC,8,18,5,23,1,172,34,21,1,4,0.283,0,0,0,0.0,0,0,0,0,0.0,0.0
Shane,676979,Garrett Crochet,pitcher,BOS,6,0,0,0,0,0,0,0,0,0,0.0,3,37,0,30.0,90,21,33,11,6.3,1.47
Shane,664126,Pete Fairbanks,pitcher,MIA,6,0,0,0,0,0,0,0,0,0,0.0,0,13,5,9.0,27,10,9,4,10.0,1.44
Shane,660670,Ronald Acuna Jr.,hitter,ATL,6,17,2,9,7,127,32,20,3,2,0.362,0,0,0,0.0,0,0,0,0,0.0,0.0
Shane,671096,Andrew Abbott,pitcher,CIN,4,0,0,0,0,0,0,0,0,0,0.0,3,20,0,26.2,80,8,22,12,2.7,1.27
Shane,601713,Nick Pivetta,pitcher,SD,4,0,0,0,0,0,0,0,0,0,0.0,1,24,0,16.0,48,8,12,6,4.5,1.12
Shane,628452,Raisel Iglesias,pitcher,ATL,4,0,0,0,0,0,0,0,0,0,0.0,0,11,5,8.2,26,0,5,1,0.0,0.69
Shane,669358,Shane Baz,pitcher,BAL,4,0,0,0,0,0,0,0,0,0,0.0,1,23,0,29.1,88,18,30,14,5.52,1.5
Shane,676475,Alec Burleson,hitter,STL,2,3,1,5,1,48,13,1,0,1,0.28,0,0,0,0.0,0,0,0,0,0.0,0.0
Shane,663903,Brady Singer,pitcher,CIN,2,0,0,0,0,0,0,0,0,0,0.0,0,14,0,13.2,41,12,19,3,7.9,1.61
Shane,605135,Chris Bassitt,pitcher,BAL,2,0,0,0,0,0,0,0,0,0,0.0,1,13,0,15.0,45,9,16,5,5.4,1.4
Greg,666969,Adolis Garcia,hitter,PHI,8,18,4,15,1,169,37,16,4,2,0.298,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,608324,Alex Bregman,hitter,CHC,8,22,4,16,2,189,47,25,1,1,0.338,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,519242,Chris Sale,pitcher,ATL,8,0,0,0,0,0,0,0,0,0,0.0,6,64,0,55.0,165,12,36,14,1.96,0.91
Greg,683002,Gunnar Henderson,hitter,BAL,8,24,10,25,6,200,43,14,1,1,0.269,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,594798,Jacob deGrom,pitcher,TEX,8,0,0,0,0,0,0,0,0,0,0.0,3,61,0,50.2,152,17,38,8,3.02,0.91
Greg,665862,Jazz Chisholm Jr.,hitter,NYY,8,19,4,16,11,162,37,19,0,1,0.308,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,514888,Jose Altuve,hitter,HOU,8,27,4,12,1,163,40,19,1,1,0.326,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,656941,Kyle Schwarber,hitter,PHI,8,35,21,38,1,182,45,32,4,0,0.372,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,622491,Luis Castillo,pitcher,SEA,8,0,0,0,0,0,0,0,0,0,0.0,1,43,0,44.0,132,31,53,16,6.34,1.57
Greg,683737,Michael Busch,hitter,CHC,8,20,4,26,1,171,39,32,2,2,0.353,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,592662,Robbie Ray,pitcher,SF,8,0,0,0,0,0,0,0,0,0,0.0,3,49,0,50.1,151,17,39,20,3.04,1.17
Greg,673548,Seiya Suzuki,hitter,CHC,8,22,7,17,0,124,32,19,2,1,0.363,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,606192,Teoscar Hernandez,hitter,LAD,8,23,5,23,1,153,41,16,2,1,0.343,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,554430,Zack Wheeler,pitcher,PHI,8,0,0,0,0,0,0,0,0,0,0.0,3,30,0,31.2,95,7,21,7,1.99,0.88
Greg,663728,Cal Raleigh,hitter,SEA,7,13,7,18,2,149,24,17,0,2,0.244,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,657277,Logan Webb,pitcher,SF,7,0,0,0,0,0,0,0,0,0,0.0,2,35,0,43.0,129,22,43,14,4.6,1.33
Greg,579328,Yusei Kikuchi,pitcher,LAA,7,0,0,0,0,0,0,0,0,0,0.0,0,33,0,31.0,93,20,35,14,5.81,1.58
Greg,605540,Brandon Woodruff,pitcher,MIL,6,0,0,0,0,0,0,0,0,0,0.0,2,25,0,30.0,90,12,24,7,3.6,1.03
Greg,670770,TJ Friedl,hitter,CIN,6,12,2,7,3,113,23,5,4,0,0.262,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,572233,Christian Walker,hitter,HOU,5,17,8,18,0,119,30,11,3,1,0.328,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,553993,Eugenio Suarez,hitter,CIN,5,10,3,11,0,91,21,9,0,0,0.3,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,642701,Dennis Santana,pitcher,PIT,4,0,0,0,0,0,0,0,0,0,0.0,0,5,0,8.1,25,9,15,4,9.72,2.28
Greg,543243,Sonny Gray,pitcher,BOS,4,0,0,0,0,0,0,0,0,0,0.0,2,11,0,20.1,61,10,22,4,4.43,1.28
Greg,543807,George Springer,hitter,TOR,3,4,2,6,2,58,11,9,0,0,0.299,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,593871,Jorge Polanco,hitter,NYM,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,641927,Bailey Ober,pitcher,MIN,2,0,0,0,0,0,0,0,0,0,0.0,2,11,0,19.0,57,8,14,4,3.79,0.95
Greg,605141,Mookie Betts,hitter,LAD,2,7,2,7,0,28,5,3,1,0,0.281,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,666310,Bo Naylor,hitter,CLE,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0
Greg,691799,Grant Taylor,pitcher,CWS,1,0,0,0,0,0,0,0,0,0,0.0,0,6,0,4.2,14,0,3,0,0.0,0.64
Greg,676617,Riley O’Brien,pitcher,STL,1,0,0,0,0,0,0,0,0,0,0.0,0,2,2,3.0,9,0,1,1,0.0,0.67
Josh V,682842,Abner Uribe,pitcher,MIL,8,0,0,0,0,0,0,0,0,0,0.0,2,18,4,17.1,52,9,14,7,4.67,1.21
Josh V,665926,Andres Gimenez,hitter,TOR,8,13,6,27,5,155,37,4,2,2,0.264,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,696149,Bubba Chandler,pitcher,PIT,8,0,0,0,0,0,0,0,0,0,0.0,1,36,0,42.0,126,24,33,31,5.14,1.52
Josh V,681297,Colton Cowser,hitter,BAL,8,10,1,9,0,81,14,12,0,1,0.277,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,656876,Drew Rasmussen,pitcher,TB,8,0,0,0,0,0,0,0,0,0,0.0,4,45,0,48.0,144,17,38,9,3.19,0.98
Josh V,678662,Ezequiel Tovar,hitter,COL,8,13,1,11,3,156,31,8,2,1,0.246,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,656427,Jack Flaherty,pitcher,DET,8,0,0,0,0,0,0,0,0,0,0.0,0,48,0,43.2,131,28,41,29,5.77,1.6
Josh V,805300,Jakob Marsee,hitter,MIA,8,25,3,14,13,170,36,26,4,1,0.328,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,691406,Junior Caminero,hitter,TB,8,28,12,23,0,172,44,23,0,1,0.342,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,805808,Kevin McGonigle,hitter,DET,8,28,2,16,7,169,49,27,2,0,0.394,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,681347,Mike Burrows,pitcher,HOU,8,0,0,0,0,0,0,0,0,0,0.0,2,46,0,50.1,151,32,60,17,5.72,1.53
Josh V,690997,Nolan McLean,pitcher,NYM,8,0,0,0,0,0,0,0,0,0,0.0,2,64,0,52.1,157,17,35,15,2.92,0.96
Josh V,669194,Ryne Nelson,pitcher,AZ,8,0,0,0,0,0,0,0,0,0,0.0,1,43,0,45.0,135,27,38,14,5.4,1.16
Josh V,701398,Sal Stewart,hitter,CIN,8,26,10,30,10,177,43,26,0,2,0.337,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,677944,Slade Cecconi,pitcher,CLE,8,0,0,0,0,0,0,0,0,0,0.0,2,38,0,45.0,135,28,54,17,5.6,1.58
Josh V,702056,Trey Yesavage,pitcher,TOR,8,0,0,0,0,0,0,0,0,0,0.0,1,21,0,19.1,58,3,17,8,1.4,1.29
Josh V,687263,Zach Neto,hitter,LAA,8,30,7,20,7,184,41,28,3,1,0.333,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,680718,Addison Barger,hitter,TOR,7,3,0,2,0,25,2,5,0,1,0.226,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,671218,Heliot Ramos,hitter,SF,7,17,4,19,0,148,40,8,0,2,0.304,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,670242,Matt Wallner,hitter,MIN,7,14,4,10,0,116,20,10,5,0,0.267,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,673237,Yainer Diaz,hitter,HOU,7,8,2,15,0,106,28,3,0,2,0.279,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,664983,Jake McCarthy,hitter,COL,5,10,3,22,4,65,25,5,0,1,0.423,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,668904,Royce Lewis,hitter,MIN,3,6,2,8,2,36,8,8,1,0,0.378,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,808982,Jung Hoo Lee,hitter,SF,1,4,1,5,0,29,7,0,2,0,0.29,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,678246,Miguel Vargas,hitter,CWS,1,6,2,7,0,23,8,2,1,0,0.423,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,694212,Samuel Basallo,hitter,BAL,1,4,1,2,0,15,5,1,0,0,0.375,0,0,0,0.0,0,0,0,0,0.0,0.0
Josh V,656716,Zach McKinstry,hitter,DET,1,0,0,0,0,21,4,1,0,0,0.227,0,0,0,0.0,0,0,0,0,0.0,0.0
