mlbam_id,player_name,team,weekly_pa,weekly_ab,weekly_r,weekly_hr,weekly_rbi,weekly_sb,weekly_h,weekly_bb,weekly_hbp,weekly_sf,weekly_obp,weekly_ip,weekly_w,weekly_sv,weekly_k,weekly_er,weekly_pitch_h,weekly_pitch_bb,weekly_era,weekly_whip
687529,Grant McCray,SF,3,2,0,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
691799,Grant Taylor,CWS,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,1,0,0,2,0,0.00,2.00
664991,Grant Wolfram,BAL,0,0,0,0,0,0,0,0,0,0,0.000,1.1,0,1,0,0,1,2,0.00,2.25
680570,Grayson Rodriguez,LAA,0,0,0,0,0,0,0,0,0,0,0.000,4.0,0,0,3,6,7,1,13.50,2.00
669711,Greg Weissert,BOS,0,0,0,0,0,0,0,0,0,0,0.000,1.2,1,0,1,0,3,0,0.00,1.80
642397,Gregory Soto,PIT,0,0,0,0,0,0,0,0,0,0,0.000,0.2,0,0,2,0,1,1,0.00,3.00
656288,Griffin Canning,SD,0,0,0,0,0,0,0,0,0,0,0.000,3.2,0,0,4,4,5,2,9.82,1.91
665052,Griffin Conine,MIA,8,8,2,2,4,0,3,0,0,0,0.375,0.0,0,0,0,0,0,0,0.00,0.00
643377,Griffin Jax,TB,0,0,0,0,0,0,0,0,0,0,0.000,5.0,0,0,6,7,8,1,12.60,1.80
683002,Gunnar Henderson,BAL,14,13,2,0,1,1,1,0,1,0,0.143,0.0,0,0,0,0,0,0,0.00,0.00
701678,Hao-Yu Lee,DET,8,8,0,0,2,0,2,0,0,0,0.250,0.0,0,0,0,0,0,0,0.00,0.00
695670,Harry Ford,WSH,10,8,3,1,4,1,3,1,1,0,0.500,0.0,0,0,0,0,0,0,0.00,0.00
671218,Heliot Ramos,SF,13,13,1,0,1,0,4,0,0,0,0.308,0.0,0,0,0,0,0,0,0.00,0.00
703607,Henry Bolte,ATH,7,7,0,0,1,0,2,0,0,0,0.286,0.0,0,0,0,0,0,0,0.00,0.00
680779,Henry Davis,PIT,12,12,0,0,0,0,2,0,0,0,0.167,0.0,0,0,0,0,0,0,0.00,0.00
681715,Heriberto Hernández,MIA,13,12,0,0,0,1,3,1,0,0,0.308,0.0,0,0,0,0,0,0,0.00,0.00
663687,Hogan Harris,ATH,0,0,0,0,0,0,0,0,0,0,0.000,0.2,0,0,1,0,0,0,0.00,0.00
623211,Huascar Brazobán,NYM,0,0,0,0,0,0,0,0,0,0,0.000,2.0,0,0,2,0,0,1,0.00,0.50
686613,Hunter Brown,HOU,0,0,0,0,0,0,0,0,0,0,0.000,4.2,0,0,4,4,3,6,7.71,1.93
676439,Hunter Feduccia,TB,7,6,0,0,0,0,1,1,0,0,0.286,0.0,0,0,0,0,0,0,0.00,0.00
683769,Hunter Gaddis,CLE,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,1,0,0,1,0.00,1.00
696100,Hunter Goodman,COL,9,9,3,3,5,0,3,0,0,0,0.333,0.0,0,0,0,0,0,0,0.00,0.00
