mlbam_id,player_name,team,weekly_pa,weekly_ab,weekly_r,weekly_hr,weekly_rbi,weekly_sb,weekly_h,weekly_bb,weekly_hbp,weekly_sf,weekly_obp,weekly_ip,weekly_w,weekly_sv,weekly_k,weekly_er,weekly_pitch_h,weekly_pitch_bb,weekly_era,weekly_whip
805999,A.J. Ewing,NYM,25,23,1,0,1,1,6,1,0,0,0.292,0.0,0,0,0,0,0,0,0.00,0.00
805123,AJ Blubaugh,HOU,0,0,0,0,0,0,0,0,0,0,0.000,5.0,0,0,2,2,1,2,3.60,0.60
676879,Aaron Ashby,MIL,0,0,0,0,0,0,0,0,0,0,0.000,2.0,0,0,2,1,3,2,4.50,2.50
607481,Aaron Bummer,ATL,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,1,6,3,5,54.00,8.00
650644,Aaron Civale,ATH,0,0,0,0,0,0,0,0,0,0,0.000,5.0,0,0,2,5,5,2,9.00,1.40
592450,Aaron Judge,NYY,25,23,3,1,2,0,3,2,0,0,0.200,0.0,0,0,0,0,0,0,0.00,0.00
605400,Aaron Nola,PHI,0,0,0,0,0,0,0,0,0,0,0.000,5.0,0,0,5,4,8,0,7.20,1.60
682842,Abner Uribe,MIL,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,1,1,0,0,0,0.00,0.00
624428,Adam Frazier,LAA,9,8,0,0,0,0,2,1,0,0,0.333,0.0,0,0,0,0,0,0,0.00,0.00
671936,Adam Macko,TOR,0,0,0,0,0,0,0,0,0,0,0.000,3.1,1,0,3,0,2,0,0.00,0.60
668939,Adley Rutschman,BAL,31,23,4,1,2,0,5,8,0,0,0.419,0.0,0,0,0,0,0,0,0.00,0.00
666969,Adolis García,PHI,22,17,0,0,2,1,1,4,0,1,0.227,0.0,0,0,0,0,0,0,0.00,0.00
680728,Adrian Del Castillo,AZ,15,13,0,0,1,0,2,2,0,0,0.267,0.0,0,0,0,0,0,0,0.00,0.00
605288,Adrian Houser,SF,0,0,0,0,0,0,0,0,0,0,0.000,4.2,0,0,5,3,7,0,5.79,1.50
670970,Adrian Morejon,SD,0,0,0,0,0,0,0,0,0,0,0.000,3.1,1,0,4,0,1,0,0.00,0.30
544150,Albert Suárez,BAL,0,0,0,0,0,0,0,0,0,0,0.000,8.0,0,0,2,0,6,0,0.00,0.75
664761,Alec Bohm,PHI,23,20,3,2,2,0,5,3,0,0,0.348,0.0,0,0,0,0,0,0,0.00,0.00
676475,Alec Burleson,STL,27,21,4,1,3,0,10,4,2,0,0.593,0.0,0,0,0,0,0,0,0.00,0.00
696030,Alejandro Osuna,TEX,17,16,1,0,1,0,7,1,0,0,0.471,0.0,0,0,0,0,0,0,0.00,0.00
608324,Alex Bregman,CHC,26,23,0,0,0,0,4,1,2,0,0.269,0.0,0,0,0,0,0,0,0.00,0.00
669743,Alex Call,LAD,0,0,1,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
695380,Alex Hoppe,SEA,0,0,0,0,0,0,0,0,0,0,0.000,2.0,0,0,1,2,2,2,9.00,2.00
656577,Alex Jackson,MIN,4,4,0,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
656638,Alex Lange,KC,0,0,0,0,0,0,0,0,0,0,0.000,3.1,0,0,2,1,4,0,2.70,1.20
681911,Alex Vesia,LAD,0,0,0,0,0,0,0,0,0,0,0.000,1.2,0,0,2,0,0,1,0.00,0.60
675961,Alika Williams,ATH,4,4,0,0,1,0,1,0,0,0,0.250,0.0,0,0,0,0,0,0,0.00,0.00
642708,Amed Rosario,NYY,5,5,0,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
669467,Andre Pallante,STL,0,0,0,0,0,0,0,0,0,0,0.000,12.0,2,0,6,2,4,2,1.50,0.50
671096,Andrew Abbott,CIN,0,0,0,0,0,0,0,0,0,0,0.000,5.1,1,0,3,1,3,3,1.69,1.12
674841,Andrew Alvarez,WSH,0,0,0,0,0,0,0,0,0,0,0.000,5.1,0,1,6,2,3,2,3.38,0.94
643217,Andrew Benintendi,CWS,20,20,1,0,4,1,3,0,0,0,0.150,0.0,0,0,0,0,0,0,0.00,0.00
552640,Andrew Kittredge,BAL,0,0,0,0,0,0,0,0,0,0,0.000,1.2,0,0,1,0,0,2,0.00,1.20
457705,Andrew McCutchen,TEX,14,11,2,0,0,0,1,3,0,0,0.286,0.0,0,0,0,0,0,0,0.00,0.00
702193,Andrew Morris,MIN,0,0,0,0,0,0,0,0,0,0,0.000,2.2,0,1,1,1,2,4,3.38,2.25
677053,Andrew Nardi,MIA,0,0,0,0,0,0,0,0,0,0,0.000,3.0,0,0,5,2,4,0,6.00,1.33
691725,Andrew Painter,PHI,0,0,0,0,0,0,0,0,0,0,0.000,12.1,0,0,6,4,9,4,2.92,1.05
683734,Andrew Vaughn,MIL,16,15,3,0,1,0,5,1,0,0,0.375,0.0,0,0,0,0,0,0,0.00,0.00
655316,Andruw Monasterio,BOS,10,9,1,0,1,0,3,1,0,0,0.400,0.0,0,0,0,0,0,0,0.00,0.00
665953,Andrés Chaparro,WSH,9,5,2,0,1,0,0,4,0,0,0.444,0.0,0,0,0,0,0,0,0.00,0.00
665926,Andrés Giménez,TOR,22,18,1,0,2,1,3,2,2,0,0.318,0.0,0,0,0,0,0,0,0.00,0.00
662253,Andrés Muñoz,SEA,0,0,0,0,0,0,0,0,0,0,0.000,2.2,0,1,3,0,2,0,0.00,0.75
681624,Andy Pages,LAD,25,22,3,1,4,0,3,2,0,1,0.200,0.0,0,0,0,0,0,0,0.00,0.00
682657,Angel Martínez,CLE,25,24,2,0,2,0,3,0,0,0,0.125,0.0,0,0,0,0,0,0,0.00,0.00
607455,Anthony Banda,MIN,0,0,0,0,0,0,0,0,0,0,0.000,3.1,0,1,1,0,0,0,0.00,0.00
669622,Anthony Bender,MIA,0,0,0,0,0,0,0,0,0,0,0.000,3.2,0,0,4,1,1,1,2.45,0.55
641743,Anthony Kay,CWS,0,0,0,0,0,0,0,0,0,0,0.000,5.1,0,0,5,1,1,3,1.69,0.75
689296,Anthony Nunez,BAL,0,0,0,0,0,0,0,0,0,0,0.000,2.1,0,1,3,4,3,1,15.43,1.71
683011,Anthony Volpe,NYY,14,14,1,0,0,2,3,0,0,0,0.214,0.0,0,0,0,0,0,0,0.00,0.00
622608,Antonio Senzatela,COL,0,0,0,0,0,0,0,0,0,0,0.000,3.2,1,0,1,0,2,0,0.00,0.55
605244,Aramis Garcia,AZ,4,4,1,0,1,0,1,0,0,0,0.250,0.0,0,0,0,0,0,0,0.00,0.00
547973,Aroldis Chapman,BOS,0,0,0,0,0,0,0,0,0,0,0.000,2.0,0,2,2,0,1,0,0.00,0.50
595978,Austin Hedges,CLE,13,10,0,0,0,0,1,1,0,0,0.182,0.0,0,0,0,0,0,0,0.00,0.00
